year,field,multiaffsize,multiaffshare,foreignaffshare
2016,Biology,412183,13.77106770536388,25.93812762059124
2007,Biology,186110,10.916662189027994,29.71403258355072
1999,Biology,99501,8.934583572024401,33.49831271091114
1996,Biology,86133,9.408705142047763,32.99605133267522
1997,Biology,91776,9.31725069735007,34.2883873231201
1998,Biology,96088,9.460078261593539,33.05830583058306
2000,Biology,107252,8.252526759407749,34.70794260535533
2006,Chemistry,217223,7.710049120028726,31.21566754239312
1999,Chemistry,133720,5.6102303320370925,39.46947480671821
2013,Chemistry,363351,10.247942072541427,27.559351165538725
2005,Chemistry,203052,7.556192502413175,33.011796910643284
2000,Chemistry,142303,5.753919453560361,38.88617489008305
2012,Chemistry,325861,9.705058291725614,27.74071146245059
2003,Chemistry,170285,6.650615145197756,36.48565121412803
2019,Chemistry,573696,11.803115238732708,24.13681070384263
1997,Chemistry,124805,6.675213332799166,44.04033129276198
2014,Chemistry,394751,10.677617029469209,26.846975088967973
2004,Chemistry,187526,7.0464895534485885,35.802936279703346
2002,Chemistry,161714,5.620416290488146,36.29662229068104
2016,Chemistry,440954,11.313424983104813,26.804578347064368
2015,Chemistry,424720,11.152994914296478,26.618674660643038
2011,Chemistry,308612,9.305211722162458,28.335132499912945
1996,Chemistry,116865,6.649552902922175,43.23767854844937
2009,Chemistry,262261,9.806261701129792,31.02885138813283
2001,Chemistry,149456,5.820442136816187,39.073456719163126
2008,Chemistry,248782,8.338223826482622,28.63478596220594
1998,Chemistry,130766,6.136916323815059,41.90654205607476
2017,Chemistry,469580,11.66510498743558,26.244591708198694
2010,Chemistry,279112,9.109604746481699,29.056870919531185
2018,Chemistry,513612,11.858173095644183,25.6727690665791
2007,Chemistry,235112,8.004270305216238,29.36925447685849
2007,Computer Sci.,78944,6.09672679367653,30.874714315395803
2004,Computer Sci.,53185,5.29096549779073,34.61265103056148
2014,Computer Sci.,145012,8.404821669930765,32.40072202166065
2019,Computer Sci.,252005,9.782345588381183,28.37092325166315
2009,Computer Sci.,93782,6.676121217291165,30.65005590161316
2008,Computer Sci.,85738,6.532692621707994,31.40510623103017
2012,Computer Sci.,120624,7.585555113410266,32.31693989071039
2006,Computer Sci.,71698,6.696142151803397,30.139554259529266
1998,Computer Sci.,34268,8.891677366639431,46.20938628158845
2011,Computer Sci.,110373,7.44928560426916,31.208951593286304
2013,Computer Sci.,134305,8.149361527865679,32.910004568296024
2010,Computer Sci.,97553,7.026949453117792,31.48067104303428
2005,Computer Sci.,61266,6.625208108902164,32.766691303276666
1999,Computer Sci.,34516,6.243481284042184,43.66589327146171
2018,Computer Sci.,209177,9.414514980136438,30.899304321332455
1997,Computer Sci.,31635,9.268215584005057,45.49795361527968
2016,Computer Sci.,160741,9.079824064799896,32.33984241178486
2017,Computer Sci.,178598,9.241424875978455,31.59042714328991
2001,Computer Sci.,40259,5.111900444621079,40.91350826044703
2015,Computer Sci.,150979,9.000589485955,32.02590330414306
2003,Computer Sci.,48436,4.9426046742092655,36.925647451963236
2000,Computer Sci.,37760,5.8315677966101696,44.64123524069028
1996,Computer Sci.,30253,8.29339239083727,44.04145077720207
2002,Computer Sci.,43260,4.817383263985206,36.13243761996161
2006,Engineering,233706,6.699870777814862,26.848895133478095
2012,Engineering,354739,8.023363656096453,27.861710350642966
2002,Engineering,153439,4.795391002287554,32.69910301712422
2011,Engineering,334519,7.732296222337147,26.513569937369518
2008,Engineering,267937,6.7706214520577594,25.356926299542472
2000,Engineering,143445,5.597964376590331,40.24906600249066
1996,Engineering,110669,7.4121931164101955,39.388028769962204
2007,Engineering,250989,6.526182422337234,26.214896214896218
2010,Engineering,306237,7.466439391712955,26.267220642904004
2017,Engineering,519787,9.283610401953107,28.123510517044863
2009,Engineering,289751,7.179957963906941,25.75946933282061
1997,Engineering,121729,7.834616237708353,38.82772360281011
1999,Engineering,129507,6.064537052051241,39.19022154316272
2003,Engineering,166119,4.996418230304781,33.89156626506024
2014,Engineering,426200,8.433364617550446,27.874690482152296
2015,Engineering,453290,8.773632773721017,27.729444304752327
2004,Engineering,186085,5.532955369857861,30.778943278943277
1998,Engineering,122291,7.705391238930092,40.889313382150064
2018,Engineering,571289,9.543506001340827,28.13411346086829
2013,Engineering,396632,8.230046995703825,27.978433354777444
2019,Engineering,625967,9.63053962908588,27.204565058722046
2001,Engineering,150801,4.206205529141053,36.22891376320353
2005,Engineering,210869,6.4039759281829,28.176836492890995
2016,Engineering,482982,8.9788025226613,28.012728865931834
2018,Immunology,226485,15.06810605558867,20.045711606645764
2017,Immunology,209334,14.700908595832498,20.842269448235523
2014,Immunology,188919,14.05152472752873,20.097189783771565
1997,Immunology,68318,9.58898094206505,27.064570294611514
2010,Immunology,137969,12.822445621842588,21.519416652535188
2009,Immunology,132312,12.215067416409699,20.993688899888628
2007,Immunology,122898,11.474556135982684,21.0041128917884
2015,Immunology,196801,14.66557588630139,21.024184048229504
2008,Immunology,125880,12.100413091833492,20.319065126050422
1996,Immunology,64090,10.382274925885474,26.856026450255488
2019,Immunology,234275,14.597801728737595,19.211088043510046
2000,Immunology,87049,8.219508552654252,25.436757512229207
2004,Immunology,94275,10.430124635375233,24.672022780433235
2003,Immunology,86369,10.987738656230823,27.26027397260274
2011,Immunology,150513,13.539029851242084,20.384728628913535
2005,Immunology,100358,10.735566671316686,24.011509188787823
1998,Immunology,67933,9.746367744689621,26.0081558676937
2012,Immunology,157696,14.030793425324676,21.03859712555365
2013,Immunology,173692,13.902770421205352,21.653967202252776
