,Argentina,Australia,Austria,Belgium,Canada,Chile,China,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Israel,Italy,Japan,Lithuania,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Turkey,United Kingdom,United States
Other,15.0,221.0,63.0,120.0,304.0,19.0,438.0,17.0,54.0,,43.0,618.0,575,26.0,7.0,21.0,55.0,209.0,384.0,,55.0,211,20.0,56.0,30.0,39.0,2.0,56.0,33.0,4.0,7.0,57.0,115.0,213.0,172,101.0,57.0,32.0,653,2140
Poland,,2.0,8.0,18.0,15.0,,,5.0,4.0,,4.0,55.0,104,5.0,2.0,1.0,1.0,16.0,14.0,1.0,,12,2.0,4.0,590.0,4.0,3.0,23.0,2.0,,,2.0,6.0,9.0,15,22.0,2.0,,34,196
Portugal,,2.0,1.0,5.0,5.0,3.0,5.0,2.0,3.0,,1.0,22.0,18,,,,,4.0,2.0,,2.0,12,1.0,1.0,2.0,940.0,1.0,1.0,,1.0,,,,35.0,12,14.0,1.0,1.0,38,65
Romania,,2.0,3.0,11.0,,,,,2.0,,2.0,31.0,35,,7.0,,,20.0,11.0,,,3,,,4.0,1.0,57.0,2.0,1.0,,1.0,,,9.0,3,5.0,,4.0,10,28
Russia,,10.0,13.0,20.0,16.0,3.0,6.0,4.0,14.0,3.0,34.0,83.0,274,,2.0,7.0,20.0,40.0,47.0,2.0,9.0,18,1.0,10.0,5.0,12.0,1.0,799.0,1.0,2.0,2.0,1.0,21.0,21.0,35,23.0,9.0,3.0,46,241
Singapore,,25.0,,2.0,8.0,,57.0,,1.0,,2.0,5.0,12,,,1.0,,,9.0,,,4,3.0,1.0,,,,3.0,590.0,,,1.0,4.0,,14,8.0,2.0,,34,84
Slovakia,,,9.0,2.0,2.0,,,11.0,3.0,,2.0,9.0,26,1.0,,,1.0,1.0,6.0,,,3,,,4.0,,,6.0,,103.0,,,,2.0,2,4.0,,,6,26
Slovenia,,1.0,3.0,1.0,2.0,,,2.0,,1.0,,3.0,7,,,,,6.0,,1.0,,1,,,,,,,,1.0,142.0,,3.0,,2,1.0,,,3,18
South Africa,,11.0,1.0,13.0,8.0,,3.0,,2.0,,,15.0,24,2.0,1.0,1.0,2.0,3.0,2.0,,,22,2.0,5.0,2.0,,,2.0,4.0,,,365.0,1.0,2.0,5,4.0,,1.0,62,54
South Korea,,10.0,1.0,1.0,21.0,,38.0,,3.0,,1.0,11.0,20,,,1.0,,1.0,93.0,,2.0,3,,,1.0,,,22.0,5.0,,,,2608.0,1.0,2,6.0,3.0,1.0,17,541
Spain,17.0,7.0,4.0,19.0,22.0,8.0,10.0,4.0,17.0,,10.0,111.0,89,3.0,4.0,3.0,2.0,63.0,6.0,,21.0,54,2.0,4.0,3.0,19.0,6.0,15.0,3.0,3.0,,1.0,2.0,2995.0,29,27.0,,1.0,146,279
Sweden,4.0,31.0,9.0,4.0,13.0,1.0,45.0,3.0,38.0,4.0,45.0,40.0,61,5.0,6.0,7.0,2.0,18.0,16.0,7.0,2.0,17,7.0,44.0,11.0,6.0,2.0,21.0,3.0,,,6.0,2.0,24.0,2250,19.0,,3.0,71,183
Switzerland,5.0,24.0,28.0,14.0,56.0,,12.0,6.0,12.0,,5.0,154.0,295,5.0,4.0,4.0,7.0,58.0,20.0,,2.0,34,5.0,4.0,11.0,5.0,3.0,8.0,4.0,,1.0,6.0,8.0,19.0,23,1322.0,2.0,2.0,111,241
Taiwan,1.0,8.0,,,12.0,,11.0,,2.0,,,8.0,5,,,,,,13.0,,,1,1.0,2.0,,,1.0,,1.0,,,,9.0,,3,2.0,3249.0,,22,205
Turkey,,1.0,4.0,4.0,7.0,,,1.0,1.0,,4.0,4.0,37,1.0,,,2.0,3.0,5.0,,,7,,1.0,,,1.0,1.0,,,,,,1.0,3,5.0,1.0,662.0,15,146
United Kingdom,6.0,200.0,34.0,45.0,149.0,7.0,120.0,12.0,40.0,2.0,27.0,227.0,322,45.0,11.0,47.0,25.0,109.0,85.0,,14.0,154,46.0,24.0,25.0,35.0,4.0,34.0,30.0,2.0,1.0,50.0,18.0,107.0,89,118.0,10.0,14.0,7356,751
United States,83.0,288.0,70.0,113.0,748.0,50.0,676.0,34.0,76.0,4.0,84.0,459.0,964,57.0,52.0,44.0,236.0,355.0,627.0,10.0,93.0,233,52.0,58.0,80.0,38.0,10.0,112.0,92.0,10.0,10.0,40.0,318.0,209.0,175,312.0,162.0,60.0,744,56634
