,Argentina,Australia,Austria,Belgium,Canada,Chile,China,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Israel,Italy,Japan,Lithuania,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Turkey,United Kingdom,United States
New Zealand,1.0,29.0,3.0,,19.0,,1.0,,2.0,,,3.0,13,,,1.0,,,2.0,,,2.0,217.0,,,,,1.0,,,,2.0,1.0,,3.0,3.0,,,43,55
Norway,,3.0,2.0,,6.0,,1.0,2.0,10.0,,7.0,7.0,22,,,,1.0,1.0,5.0,,,5.0,1.0,500.0,,1.0,,5.0,1.0,,,,,8.0,33.0,4.0,,,26,50
Other,13.0,102.0,22.0,76.0,130.0,7.0,162.0,7.0,38.0,,27.0,347.0,358,7.0,7.0,8.0,13.0,103.0,211.0,1.0,38.0,100.0,10.0,27.0,19.0,22.0,2.0,44.0,11.0,1.0,3.0,21.0,26.0,98.0,93.0,41.0,20.0,21.0,337,1027
Poland,,5.0,9.0,9.0,11.0,1.0,1.0,1.0,7.0,,5.0,47.0,81,2.0,,,4.0,12.0,10.0,,1.0,13.0,,4.0,354.0,2.0,1.0,15.0,2.0,1.0,,,,8.0,11.0,19.0,3.0,,22,163
Portugal,,1.0,1.0,1.0,3.0,,5.0,1.0,6.0,,1.0,24.0,11,,1.0,1.0,,4.0,,,,9.0,,1.0,2.0,452.0,,4.0,,,,2.0,,21.0,6.0,7.0,,,25,37
Romania,,1.0,1.0,2.0,1.0,,,1.0,1.0,,4.0,26.0,18,2.0,3.0,,1.0,19.0,10.0,,,1.0,,,,3.0,23.0,1.0,,,,,,4.0,2.0,1.0,,4.0,12,18
Russia,1.0,7.0,10.0,22.0,17.0,2.0,5.0,9.0,8.0,,27.0,71.0,252,1.0,1.0,,13.0,27.0,93.0,,8.0,21.0,,9.0,11.0,7.0,,469.0,2.0,3.0,,1.0,13.0,28.0,50.0,28.0,10.0,3.0,50,191
Singapore,,22.0,1.0,2.0,2.0,,28.0,,,,,5.0,4,,2.0,,2.0,,11.0,,,2.0,6.0,,3.0,,1.0,1.0,186.0,,,,,,1.0,,5.0,,23,39
Slovakia,,,12.0,,1.0,,,5.0,1.0,,2.0,6.0,12,,,,1.0,3.0,3.0,,,7.0,,1.0,,,,6.0,,44.0,,,,,2.0,1.0,,,4,9
Slovenia,,,,,,,,,1.0,,,,14,,,,,1.0,1.0,,,1.0,,,,,,1.0,,,67.0,,,,,,,,4,13
South Africa,,5.0,1.0,9.0,5.0,,1.0,,1.0,,,7.0,7,,,1.0,1.0,3.0,1.0,,,8.0,1.0,,,1.0,,1.0,,,,195.0,,,2.0,5.0,,1.0,30,24
South Korea,,3.0,2.0,1.0,19.0,,22.0,,1.0,,,2.0,22,,1.0,,,2.0,57.0,,,,1.0,,,,,6.0,,,,,1227.0,,9.0,1.0,2.0,,11,310
Spain,15.0,8.0,4.0,7.0,27.0,2.0,3.0,2.0,6.0,,6.0,76.0,103,1.0,3.0,3.0,2.0,38.0,4.0,,18.0,30.0,1.0,3.0,,13.0,4.0,7.0,,1.0,,,1.0,1752.0,34.0,21.0,,1.0,73,207
Sweden,5.0,29.0,5.0,24.0,9.0,1.0,21.0,1.0,42.0,5.0,35.0,41.0,56,10.0,9.0,3.0,2.0,28.0,13.0,3.0,,26.0,2.0,44.0,7.0,7.0,,23.0,,2.0,2.0,1.0,,7.0,1595.0,22.0,,2.0,70,202
Switzerland,,8.0,31.0,24.0,23.0,,14.0,6.0,11.0,,8.0,141.0,204,15.0,1.0,1.0,16.0,45.0,11.0,,4.0,48.0,4.0,4.0,6.0,3.0,2.0,17.0,4.0,,,4.0,4.0,11.0,23.0,791.0,,,82,305
Taiwan,,4.0,,1.0,5.0,,15.0,,,,1.0,3.0,4,,,,,,18.0,,,,1.0,,,,,3.0,8.0,,,,1.0,1.0,1.0,2.0,1293.0,,17,110
Turkey,,,3.0,2.0,2.0,,,,1.0,,3.0,1.0,22,,,1.0,6.0,21.0,3.0,,,,1.0,,,,1.0,2.0,,,,,,1.0,,2.0,,425.0,22,100
United Kingdom,11.0,134.0,11.0,31.0,92.0,1.0,51.0,21.0,23.0,,17.0,160.0,224,45.0,9.0,55.0,31.0,118.0,91.0,1.0,8.0,143.0,26.0,22.0,13.0,19.0,4.0,40.0,19.0,1.0,2.0,23.0,10.0,84.0,64.0,89.0,6.0,11.0,5233,708
United States,68.0,314.0,79.0,90.0,709.0,37.0,314.0,33.0,81.0,5.0,84.0,433.0,820,55.0,48.0,38.0,194.0,354.0,667.0,7.0,83.0,240.0,43.0,51.0,66.0,24.0,6.0,127.0,56.0,10.0,16.0,55.0,188.0,164.0,206.0,253.0,84.0,45.0,675,41700
