,Argentina,Australia,Austria,Belgium,Canada,Chile,China,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Israel,Italy,Japan,Lithuania,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Turkey,United Kingdom,United States
Germany,8.0,55.0,36.0,27.0,63.0,3.0,47.0,7.0,32.0,2.0,16.0,158.0,3801,11.0,19.0,4.0,25.0,72.0,67.0,3.0,5.0,72.0,10.0,10.0,30.0,9.0,6.0,75.0,2.0,8.0,3.0,11.0,4.0,34.0,48.0,144.0,4.0,3.0,175.0,776
Greece,,1.0,,6.0,9.0,,,,2.0,,2.0,12.0,25,307.0,,,3.0,4.0,1.0,,1.0,3.0,,1.0,,,,3.0,1.0,,,,,1.0,5.0,5.0,,,47.0,64
Hungary,,1.0,5.0,15.0,5.0,,1.0,,1.0,,6.0,20.0,36,,139.0,,1.0,8.0,6.0,,,5.0,,2.0,1.0,,,1.0,,,1.0,,,,4.0,6.0,,,16.0,67
Ireland,,6.0,,5.0,8.0,,1.0,,,,,,11,,,102.0,,2.0,,,,7.0,2.0,,,1.0,,1.0,,,,,,1.0,4.0,,,,51.0,41
Israel,,8.0,1.0,1.0,12.0,,2.0,,1.0,,,22.0,26,1.0,2.0,1.0,1022.0,6.0,3.0,,,3.0,2.0,,,1.0,,5.0,,,,2.0,,12.0,3.0,15.0,1.0,1.0,15.0,208
Italy,2.0,1.0,4.0,32.0,14.0,1.0,6.0,1.0,6.0,,5.0,85.0,73,3.0,3.0,1.0,3.0,3152.0,15.0,,1.0,28.0,,3.0,2.0,,1.0,21.0,1.0,1.0,1.0,4.0,,25.0,12.0,75.0,2.0,5.0,92.0,273
Japan,,38.0,4.0,11.0,56.0,1.0,54.0,5.0,5.0,,2.0,53.0,79,1.0,4.0,4.0,3.0,13.0,6603.0,1.0,1.0,19.0,8.0,3.0,,2.0,5.0,29.0,4.0,1.0,,2.0,17.0,6.0,41.0,32.0,1.0,1.0,99.0,807
Lithuania,,,,1.0,,,,,,,,3.0,6,,,,,,2.0,14.0,,2.0,,1.0,,,,,,,,,,,7.0,,,,,2
Mexico,3.0,,,2.0,18.0,,,3.0,,,,24.0,11,,,2.0,,3.0,4.0,,272.0,5.0,1.0,,3.0,,1.0,7.0,,,,,,19.0,,,,,26.0,82
Netherlands,1.0,10.0,8.0,34.0,16.0,2.0,11.0,4.0,6.0,1.0,11.0,27.0,81,,11.0,3.0,5.0,25.0,15.0,,2.0,1765.0,3.0,5.0,,5.0,,8.0,1.0,,,3.0,,20.0,11.0,21.0,,1.0,85.0,182
New Zealand,,36.0,2.0,,21.0,,2.0,,1.0,,,1.0,8,,,,2.0,,5.0,,,3.0,215.0,,,,,,1.0,,,5.0,,1.0,5.0,5.0,,1.0,44.0,59
Norway,,1.0,,4.0,10.0,,2.0,,8.0,1.0,5.0,14.0,17,1.0,1.0,,1.0,4.0,1.0,1.0,,10.0,,488.0,3.0,,,1.0,,,,,,3.0,46.0,6.0,,,18.0,53
Other,18.0,191.0,28.0,76.0,198.0,4.0,77.0,3.0,38.0,1.0,27.0,382.0,333,12.0,12.0,14.0,34.0,133.0,250.0,,25.0,80.0,10.0,16.0,26.0,9.0,3.0,46.0,19.0,2.0,2.0,24.0,29.0,111.0,79.0,47.0,20.0,15.0,496.0,1845
Poland,,5.0,8.0,6.0,12.0,,1.0,,3.0,,4.0,46.0,71,,1.0,,3.0,11.0,20.0,,3.0,10.0,,3.0,219.0,1.0,,5.0,,,,1.0,,4.0,15.0,18.0,,,32.0,131
Portugal,,1.0,,3.0,3.0,,3.0,,6.0,,,19.0,4,,,1.0,,1.0,1.0,,,10.0,,1.0,,228.0,,1.0,,,,,,6.0,6.0,4.0,,,22.0,29
Romania,,,1.0,6.0,2.0,,,1.0,,,2.0,14.0,17,1.0,1.0,,1.0,12.0,4.0,,,3.0,,,,,9.0,,,,,,,3.0,4.0,2.0,1.0,,7.0,24
Russia,,14.0,9.0,16.0,39.0,,8.0,4.0,12.0,,25.0,93.0,237,2.0,,4.0,18.0,48.0,41.0,3.0,5.0,26.0,,2.0,15.0,5.0,,273.0,,1.0,,4.0,5.0,19.0,55.0,18.0,3.0,2.0,70.0,238
Singapore,,18.0,,3.0,4.0,,14.0,,,,,1.0,5,,1.0,,,1.0,3.0,,,3.0,4.0,1.0,,,,,110.0,,,,,,2.0,2.0,1.0,,13.0,44
Slovakia,,,6.0,3.0,2.0,,,6.0,1.0,,,3.0,9,,2.0,,,7.0,4.0,,2.0,4.0,,,,,,,,37.0,,,,2.0,1.0,2.0,,,6.0,17
Slovenia,,,3.0,,1.0,,,,,,1.0,,3,,2.0,,,4.0,,,1.0,1.0,,,,,,,,1.0,61.0,,,,3.0,1.0,,,1.0,5
South Africa,,5.0,2.0,2.0,2.0,,,,1.0,,,3.0,9,,,,3.0,2.0,3.0,,,,2.0,1.0,1.0,1.0,,,,,,187.0,,1.0,,4.0,,,23.0,33
South Korea,,6.0,,,14.0,,12.0,,,,1.0,6.0,11,,,,,1.0,57.0,,,1.0,,,,,,,,,1.0,,648.0,1.0,2.0,2.0,,1.0,16.0,350
Spain,7.0,3.0,11.0,22.0,18.0,5.0,,2.0,8.0,,5.0,91.0,49,,2.0,1.0,8.0,37.0,5.0,,7.0,30.0,,6.0,1.0,3.0,,3.0,,,,,1.0,1271.0,12.0,18.0,,2.0,115.0,191
Sweden,1.0,21.0,3.0,10.0,21.0,1.0,5.0,2.0,23.0,4.0,45.0,24.0,49,1.0,2.0,1.0,,13.0,19.0,2.0,,16.0,5.0,16.0,3.0,1.0,,17.0,3.0,,,,3.0,12.0,1228.0,18.0,1.0,1.0,59.0,134
Switzerland,2.0,22.0,9.0,18.0,36.0,,4.0,2.0,5.0,,8.0,79.0,143,5.0,3.0,,5.0,35.0,12.0,,5.0,33.0,1.0,1.0,5.0,7.0,,8.0,,2.0,1.0,11.0,,13.0,17.0,660.0,1.0,,72.0,310
Taiwan,,2.0,,1.0,4.0,,1.0,,,,,5.0,11,,,,,,6.0,,,,,,1.0,,,1.0,1.0,,,,1.0,6.0,2.0,1.0,775.0,,14.0,192
Turkey,,1.0,1.0,2.0,8.0,,,,,,,2.0,4,1.0,,,,,2.0,,,3.0,,,,,,4.0,,,,,,,,3.0,,252.0,37.0,60
United Kingdom,9.0,145.0,14.0,38.0,115.0,2.0,54.0,8.0,28.0,2.0,12.0,141.0,195,25.0,9.0,47.0,12.0,90.0,83.0,1.0,7.0,108.0,28.0,18.0,12.0,7.0,,25.0,21.0,3.0,,27.0,12.0,82.0,37.0,87.0,6.0,4.0,5706.0,658
United States,24.0,250.0,65.0,97.0,711.0,13.0,157.0,15.0,83.0,1.0,94.0,461.0,803,39.0,29.0,39.0,204.0,233.0,621.0,1.0,60.0,165.0,61.0,44.0,45.0,13.0,9.0,126.0,45.0,9.0,16.0,32.0,159.0,161.0,145.0,291.0,101.0,39.0,771.0,40452
