,Argentina,Australia,Austria,Belgium,Canada,Chile,China,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Israel,Italy,Japan,Lithuania,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Turkey,United Kingdom,United States
Netherlands,1.0,57.0,16.0,130,47.0,1.0,79.0,3.0,17.0,1.0,7.0,51,231,6.0,6.0,15.0,9.0,53.0,17.0,,2.0,5355.0,6.0,19.0,15.0,18.0,6.0,5.0,8.0,3.0,1.0,18.0,8.0,48.0,27,53.0,2.0,8.0,164,335
New Zealand,,63.0,1.0,1,21.0,1.0,13.0,,1.0,,2.0,11,27,,1.0,4.0,1.0,5.0,6.0,,,6.0,634.0,4.0,1.0,,,1.0,2.0,,,8.0,2.0,9.0,8,5.0,1.0,,55,63
Norway,1.0,12.0,4.0,3,10.0,1.0,22.0,2.0,34.0,,12.0,32,42,2.0,5.0,3.0,1.0,16.0,6.0,1.0,1.0,21.0,2.0,2449.0,4.0,11.0,,10.0,1.0,2.0,,9.0,2.0,7.0,91,10.0,,,48,85
Other,47.0,387.0,112.0,196,437.0,29.0,898.0,23.0,108.0,4.0,47.0,1023,791,43.0,18.0,45.0,38.0,223.0,604.0,1.0,30.0,271.0,50.0,78.0,27.0,110.0,13.0,52.0,50.0,8.0,19.0,109.0,223.0,333.0,236,114.0,92.0,44.0,942,2413
Poland,,7.0,6.0,10,18.0,4.0,1.0,9.0,9.0,,9.0,48,125,4.0,,5.0,1.0,19.0,11.0,1.0,1.0,21.0,2.0,5.0,991.0,6.0,,21.0,1.0,,2.0,5.0,5.0,18.0,15,22.0,,,41,150
Portugal,4.0,9.0,4.0,4,9.0,,12.0,5.0,6.0,,6.0,40,30,3.0,1.0,3.0,3.0,18.0,2.0,,1.0,29.0,3.0,5.0,3.0,2101.0,,4.0,1.0,1.0,4.0,3.0,1.0,76.0,13,16.0,,3.0,75,90
Romania,,1.0,3.0,7,3.0,,,,4.0,,3.0,33,40,1.0,10.0,,1.0,14.0,4.0,1.0,,5.0,,,,5.0,226.0,4.0,,,1.0,1.0,,6.0,6,4.0,,2.0,11,23
Russia,,10.0,19.0,24,25.0,2.0,10.0,13.0,6.0,7.0,40.0,95,211,1.0,,1.0,5.0,28.0,24.0,,3.0,19.0,,11.0,11.0,4.0,,1973.0,2.0,4.0,,2.0,4.0,14.0,28,17.0,3.0,4.0,46,178
Singapore,,49.0,2.0,1,11.0,6.0,162.0,,2.0,,2.0,20,24,5.0,,5.0,5.0,4.0,25.0,,,18.0,7.0,1.0,4.0,1.0,,,981.0,,,,15.0,5.0,9,6.0,4.0,5.0,43,179
Slovakia,,,11.0,4,4.0,,,23.0,2.0,1.0,3.0,8,17,1.0,1.0,2.0,,5.0,2.0,,1.0,2.0,,3.0,1.0,1.0,,3.0,,147.0,,,,4.0,4,1.0,,,6,22
Slovenia,,3.0,3.0,1,1.0,,3.0,1.0,,,,8,10,,2.0,,,17.0,1.0,,1.0,5.0,,2.0,2.0,,,4.0,,,316.0,,,2.0,1,2.0,,,10,12
South Africa,,16.0,3.0,14,20.0,,6.0,,7.0,1.0,2.0,31,34,,2.0,2.0,2.0,9.0,3.0,,1.0,29.0,10.0,6.0,3.0,4.0,,1.0,,,,705.0,1.0,3.0,10,26.0,1.0,2.0,92,99
South Korea,,15.0,2.0,7,39.0,,82.0,,2.0,,1.0,11,53,,,4.0,3.0,7.0,94.0,,,7.0,8.0,4.0,2.0,2.0,,8.0,9.0,1.0,,1.0,4321.0,2.0,7,10.0,7.0,1.0,45,892
Spain,20.0,16.0,15.0,36,39.0,19.0,20.0,4.0,20.0,2.0,14.0,131,144,8.0,9.0,12.0,6.0,100.0,14.0,1.0,41.0,73.0,3.0,13.0,5.0,77.0,7.0,10.0,6.0,1.0,,1.0,2.0,7515.0,39,49.0,1.0,3.0,236,383
Sweden,3.0,39.0,13.0,15,30.0,2.0,105.0,3.0,67.0,13.0,63.0,35,121,5.0,11.0,12.0,1.0,26.0,17.0,5.0,4.0,53.0,3.0,62.0,15.0,15.0,1.0,20.0,11.0,1.0,,11.0,3.0,25.0,2889,39.0,2.0,,116,186
Switzerland,7.0,46.0,42.0,36,57.0,1.0,30.0,17.0,17.0,3.0,10.0,147,405,7.0,7.0,9.0,17.0,114.0,23.0,,2.0,66.0,6.0,13.0,16.0,7.0,5.0,10.0,5.0,2.0,,12.0,3.0,50.0,37,2218.0,6.0,9.0,251,368
Taiwan,,3.0,,2,17.0,,52.0,,1.0,,3.0,10,14,,1.0,,1.0,,33.0,,1.0,5.0,3.0,,1.0,,,2.0,9.0,,,2.0,5.0,,2,6.0,5810.0,,26,253
Turkey,1.0,8.0,2.0,6,7.0,,1.0,,4.0,,5.0,10,28,2.0,,1.0,1.0,5.0,6.0,,5.0,6.0,1.0,,,5.0,,1.0,1.0,,,1.0,2.0,4.0,5,5.0,1.0,538.0,26,145
United Kingdom,7.0,252.0,50.0,71,152.0,11.0,321.0,21.0,41.0,2.0,44.0,268,424,67.0,21.0,85.0,29.0,257.0,96.0,,13.0,205.0,54.0,36.0,24.0,53.0,4.0,34.0,42.0,5.0,2.0,60.0,19.0,178.0,111,172.0,18.0,10.0,8825,867
United States,55.0,301.0,102.0,96,722.0,48.0,2181.0,31.0,116.0,3.0,79.0,472,988,92.0,43.0,96.0,209.0,449.0,484.0,12.0,116.0,259.0,87.0,65.0,60.0,49.0,12.0,80.0,146.0,3.0,9.0,96.0,370.0,313.0,163,332.0,151.0,76.0,892,64150
